Spielstätte,Ort,Titel,Anzahl,Komponist,Komponist_ber,Geburtsort,Geschlecht,Geburtsdatum,Geburtsjahr,Alter,Sterbedatum,Verstorben,Art,Bemerkung
"Musiktheater im Revier, Gelsenkirchen",Gelsenkirchen,Schwanda der Dudelsackpfeifer,4,Jaromír Weinberger,Jaromír Weinberger,Prag,männlich,1896-01-08 00:00:00+00:00,1896,123,1967,Tot,premieren,
Deutsche Oper am Rhein,Düsseldorf/Duisburg,Der feurige Engel,4,Sergei Sergejewitsch Prokofjew,Sergei Sergejewitsch Prokofjew,Krasne,männlich,1891-04-23 00:00:00+00:00,1891,128,1953,Tot,wiederaufnahmen,
"Musiktheater im Revier, Gelsenkirchen",Gelsenkirchen,Romeo und Julia,4,Sergei Sergejewitsch Prokofjew,Sergei Sergejewitsch Prokofjew,Krasne,männlich,1891-04-23 00:00:00+00:00,1891,128,1953,Tot,wiederaufnahmen,
Oper Köln,Köln,Im weißen Rössel,15,Ralph Benatzky,Ralph Benatzky,Moravské Budějovice,männlich,1884-06-05 00:00:00+00:00,1884,135,1957,Tot,premieren,
Theater Krefeld Mönchengladbach,Krefeld/Mönchengladbach,Die Faschingsfee,7,Emmerich Kálmán,Emmerich Kálmán,Siófok,männlich,1882-10-24 00:00:00+00:00,1882,137,1953,Tot,premieren,
Oper Köln,Köln,Jeanne D‘Arc – Szenen aus dem Leben der Heiligen Johanna,5,Walter Braunfels,Walter Braunfels,Frankfurt am Main,männlich,1882-12-19 00:00:00+00:00,1882,137,1954,Tot,wiederaufnahmen,
Deutsche Oper am Rhein,Düsseldorf/Duisburg,Petruschka / L'Enfant et les Sortilèges,4,Igor Strawinsky,Igor Strawinsky,Lomonossow,männlich,1882-06-17 00:00:00+00:00,1882,137,1971,Tot,premieren,
Deutsche Oper am Rhein,Düsseldorf/Duisburg,Petruschka / L'Enfant et les Sortilèges,3,Igor Strawinsky,Igor Strawinsky,Lomonossow,männlich,1882-06-17 00:00:00+00:00,1882,137,1971,Tot,wiederaufnahmen,Ursprünglich zwei Komponisten: Igor Strawinsky / Maurice Ravel
Wuppertaler Bühnen,Wuppertal,Das Land des Lächelns,10,Franz Lehár,Franz Lehár,Komárno,männlich,1870-04-30 00:00:00+00:00,1870,149,1948,Tot,premieren,
"Oper, Ballett und Junge Oper Dortmund",Dortmund,Das Land des Lächelns,16,Franz Lehár,Franz Lehár,Komárno,männlich,1870-04-30 00:00:00+00:00,1870,149,1948,Tot,premieren,
Theater Herford,Herford,Die lustige Witwe,1,Franz Lehár,Franz Lehár,Komárno,männlich,1870-04-30 00:00:00+00:00,1870,149,1948,Tot,sonstiges,Premiere oder Wiederaufnahme?
Wuppertaler Bühnen,Wuppertal,Werther,2,Franz Lehár,Franz Lehár,Komárno,männlich,1870-04-30 00:00:00+00:00,1870,149,1948,Tot,premieren,
Theater Bielefeld,Bielefeld,Ariane und Blaubart,5,Paul Dukas,Paul Dukas,Paris,männlich,1865-10-01 00:00:00+00:00,1865,154,1935,Tot,premieren,
Deutsche Oper am Rhein,Düsseldorf/Duisburg,Arabella,3,Richard Strauss,Richard Strauss,München,männlich,1864-06-11 00:00:00+00:00,1864,155,1949,Tot,wiederaufnahmen,
Deutsche Oper am Rhein,Düsseldorf/Duisburg,Ariadne auf Naxos,5,Richard Strauss,Richard Strauss,München,männlich,1864-06-11 00:00:00+00:00,1864,155,1949,Tot,wiederaufnahmen,
Theater/Oper/Schauspiel Bonn,Bonn,Elektra,10,Richard Strauss,Richard Strauss,München,männlich,1864-06-11 00:00:00+00:00,1864,155,1949,Tot,premieren,
Theater und Philharmoie Essen,Essen,Salome,2,Richard Strauss,Richard Strauss,München,männlich,1864-06-11 00:00:00+00:00,1864,155,1949,Tot,wiederaufnahmen,
Oper Köln,Köln,Salome,10,Richard Strauss,Richard Strauss,München,männlich,1864-06-11 00:00:00+00:00,1864,155,1949,Tot,premieren,
Deutsche Oper am Rhein,Düsseldorf/Duisburg,Cavalleria rusticana / Pagliacci,4,Pietro Mascagni,Pietro Mascagni,Livorno,männlich,1863-12-07 00:00:00+00:00,1863,156,1945,Tot,wiederaufnahmen,Zwei Komponisten
